Date,HomeTeam,AwayTeam,FTHG,FTAG
2014/11/23,Elche CF,Cordoba CF,2,2
2014/11/23,Villarreal CF,Getafe CF,2,1
2014/11/24,Granada CF,UD Almeria,0,0
2014/11/28,Real Sociedad,Elche CF,3,0
2014/11/29,Getafe CF,Athletic Bilbao,1,2
2014/11/29,Espanyol Barcelona,Levante UD,2,1
2014/11/29,Malaga CF,Real Madrid,1,2
2014/11/29,Celta Vigo,SD Eibar,0,1
2014/11/30,Atletico Madrid,Deportivo La Coruna,2,0
2014/11/30,Sevilla FC,Granada CF,5,1
2014/11/30,Cordoba CF,Villarreal CF,0,2
2014/11/30,Valencia CF,FC Barcelona,0,1
2014/12/1,UD Almeria,Rayo Vallecano,0,1
2014/12/6,Elche CF,Atletico Madrid,0,2
2014/12/6,Athletic Bilbao,Cordoba CF,0,1
2014/12/6,Real Madrid,Celta Vigo,3,0
2014/12/6,Deportivo La Coruna,Malaga CF,0,1
2014/12/7,Rayo Vallecano,Sevilla FC,0,1
2014/12/7,FC Barcelona,Espanyol Barcelona,5,1
2014/12/7,Villarreal CF,Real Sociedad,4,0
2014/12/7,Granada CF,Valencia CF,1,1
2014/12/8,SD Eibar,UD Almeria,5,2
2014/12/8,Levante UD,Getafe CF,1,1
2014/12/12,UD Almeria,Real Madrid,1,4
2014/12/13,Getafe CF,FC Barcelona,0,0
2014/12/13,Valencia CF,Rayo Vallecano,3,0
2014/12/13,Cordoba CF,Levante UD,0,0
2014/12/13,Malaga CF,Celta Vigo,1,0
2014/12/14,Espanyol Barcelona,Granada CF,2,1
2014/12/14,Sevilla FC,SD Eibar,0,0
2014/12/14,Atletico Madrid,Villarreal CF,0,1
2014/12/14,Real Sociedad,Athletic Bilbao,1,1
2014/12/15,Deportivo La Coruna,Elche CF,1,0
2014/12/19,Celta Vigo,UD Almeria,0,1
2014/12/20,FC Barcelona,Cordoba CF,5,0
2014/12/20,Levante UD,Real Sociedad,1,1
2014/12/20,SD Eibar,Valencia CF,0,1
2014/12/20,Rayo Vallecano,Espanyol Barcelona,1,3
2014/12/21,Villarreal CF,Deportivo La Coruna,3,0
2014/12/21,Granada CF,Getafe CF,1,1
2014/12/21,Elche CF,Malaga CF,1,2
2014/12/21,Athletic Bilbao,Atletico Madrid,1,4
2015/2/4,Real Madrid,Sevilla FC,2,1
2015/1/3,Atletico Madrid,Levante UD,3,1
2015/1/3,Sevilla FC,Celta Vigo,1,0
2015/1/3,Elche CF,Villarreal CF,2,2
2015/1/3,Deportivo La Coruna,Athletic Bilbao,1,0
2015/1/3,Malaga CF,UD Almeria,1,2
2015/1/4,Getafe CF,Rayo Vallecano,1,2
2015/1/4,Valencia CF,Real Madrid,2,1
2015/1/4,Espanyol Barcelona,SD Eibar,1,2
2015/1/4,Real Sociedad,FC Barcelona,1,0
2015/1/5,Cordoba CF,Granada CF,2,0
2015/1/9,Levante UD,Deportivo La Coruna,0,0
2015/1/10,Real Madrid,Espanyol Barcelona,3,0
2015/1/10,Malaga CF,Villarreal CF,1,1
2015/1/10,Celta Vigo,Valencia CF,1,1
2015/1/10,SD Eibar,Getafe CF,2,1
2015/1/11,UD Almeria,Sevilla FC,0,2
2015/1/11,Athletic Bilbao,Elche CF,1,2
2015/1/11,Granada CF,Real Sociedad,1,1
2015/1/11,FC Barcelona,Atletico Madrid,3,1
2015/1/12,Rayo Vallecano,Cordoba CF,0,1
2015/1/16,Cordoba CF,SD Eibar,1,1
2015/1/17,Real Sociedad,Rayo Vallecano,0,1
2015/1/17,Valencia CF,UD Almeria,3,2
2015/1/17,Villarreal CF,Athletic Bilbao,2,0
2015/1/17,Espanyol Barcelona,Celta Vigo,1,0
2015/1/18,Getafe CF,Real Madrid,0,3
2015/1/18,Atletico Madrid,Granada CF,2,0
2015/1/18,Deportivo La Coruna,FC Barcelona,0,4
2015/1/18,Elche CF,Levante UD,1,0
2015/1/18,Sevilla FC,Malaga CF,2,0
2015/1/24,Cordoba CF,Real Madrid,1,2
2015/1/24,Elche CF,FC Barcelona,0,6
2015/1/24,Atletico Madrid,Rayo Vallecano,3,1
2015/1/24,Villarreal CF,Levante UD,1,0
2015/1/24,Real Sociedad,SD Eibar,1,0
2015/1/25,Deportivo La Coruna,Granada CF,2,2
2015/1/25,Athletic Bilbao,Malaga CF,1,1
2015/1/25,Espanyol Barcelona,UD Almeria,3,0
2015/1/25,Valencia CF,Sevilla FC,3,1
2015/1/26,Getafe CF,Celta Vigo,2,1
2015/1/30,Rayo Vallecano,Deportivo La Coruna,1,2
2015/1/31,Real Madrid,Real Sociedad,4,1
2015/1/31,SD Eibar,Atletico Madrid,1,3
2015/1/31,Granada CF,Elche CF,1,0
2015/1/31,Celta Vigo,Cordoba CF,1,0
2015/2/1,Levante UD,Athletic Bilbao,0,2
2015/2/1,UD Almeria,Getafe CF,1,0
2015/2/1,Sevilla FC,Espanyol Barcelona,3,2
2015/2/1,FC Barcelona,Villarreal CF,3,2
2015/2/2,Malaga CF,Valencia CF,1,0
2015/2/6,Deportivo La Coruna,SD Eibar,2,0
2015/2/7,Atletico Madrid,Real Madrid,4,0
2015/2/7,Villarreal CF,Granada CF,2,0
2015/2/7,Levante UD,Malaga CF,4,1
2015/2/7,Real Sociedad,Celta Vigo,1,1
2015/2/8,Cordoba CF,UD Almeria,1,2
2015/2/8,Getafe CF,Sevilla FC,2,1
2015/2/8,Espanyol Barcelona,Valencia CF,1,2
2015/2/8,Athletic Bilbao,FC Barcelona,2,5
2015/2/9,Elche CF,Rayo Vallecano,2,0
2015/2/13,UD Almeria,Real Sociedad,2,2
2015/2/14,Sevilla FC,Cordoba CF,3,0
2015/2/14,Real Madrid,Deportivo La Coruna,2,0
2015/2/14,Granada CF,Athletic Bilbao,0,0
2015/2/14,Malaga CF,Espanyol Barcelona,0,2
2015/2/15,Valencia CF,Getafe CF,1,0
2015/2/15,FC Barcelona,Levante UD,5,0
2015/2/15,Rayo Vallecano,Villarreal CF,2,0
2015/2/15,Celta Vigo,Atletico Madrid,2,0
2015/2/16,SD Eibar,Elche CF,0,1
2015/2/20,Getafe CF,Espanyol Barcelona,2,1
2015/2/21,FC Barcelona,Malaga CF,0,1
2015/2/21,Cordoba CF,Valencia CF,1,2
2015/2/21,Atletico Madrid,UD Almeria,3,0
2015/2/21,Deportivo La Coruna,Celta Vigo,0,2
2015/2/22,Real Sociedad,Sevilla FC,4,3
2015/2/22,Athletic Bilbao,Rayo Vallecano,1,0
2015/2/22,Villarreal CF,SD Eibar,1,0
2015/2/22,Elche CF,Real Madrid,0,2
2015/2/23,Levante UD,Granada CF,2,1
2015/2/27,Espanyol Barcelona,Cordoba CF,1,0
2015/2/28,Granada CF,FC Barcelona,1,3
2015/2/28,Rayo Vallecano,Levante UD,4,2
2015/2/28,UD Almeria,Deportivo La Coruna,0,0
2015/2/28,Malaga CF,Getafe CF,3,2
2015/3/1,Valencia CF,Real Sociedad,2,0
2015/3/1,SD Eibar,Athletic Bilbao,0,1
2015/3/1,Sevilla FC,Atletico Madrid,0,0
2015/3/1,Real Madrid,Villarreal CF,1,1
2015/3/2,Celta Vigo,Elche CF,1,1
2015/3/6,Levante UD,SD Eibar,2,1
2015/3/7,Deportivo La Coruna,Sevilla FC,3,4
2015/3/7,Athletic Bilbao,Real Madrid,1,0
2015/3/7,Elche CF,UD Almeria,1,0
2015/3/7,Granada CF,Malaga CF,1,0
2015/3/8,FC Barcelona,Rayo Vallecano,6,1
2015/3/8,Real Sociedad,Espanyol Barcelona,1,0
2015/3/8,Villarreal CF,Celta Vigo,4,1
2015/3/8,Atletico Madrid,Valencia CF,1,1
2015/3/9,Cordoba CF,Getafe CF,1,2
2015/3/13,Valencia CF,Deportivo La Coruna,2,0
2015/3/14,Espanyol Barcelona,Atletico Madrid,0,0
2015/3/14,SD Eibar,FC Barcelona,0,2
2015/3/14,Rayo Vallecano,Granada CF,3,1
2015/3/14,Celta Vigo,Athletic Bilbao,1,2
2015/3/15,UD Almeria,Villarreal CF,0,0
2015/3/15,Malaga CF,Cordoba CF,2,0
2015/3/15,Sevilla FC,Elche CF,3,0
2015/3/15,Real Madrid,Levante UD,2,0
2015/3/16,Getafe CF,Real Sociedad,0,1
2015/3/20,Elche CF,Valencia CF,0,4
2015/3/21,Atletico Madrid,Getafe CF,2,0
2015/3/21,Rayo Vallecano,Malaga CF,1,0
2015/3/21,Levante UD,Celta Vigo,0,1
2015/3/21,Athletic Bilbao,UD Almeria,2,1
2015/3/21,Granada CF,SD Eibar,0,0
2015/3/22,Deportivo La Coruna,Espanyol Barcelona,0,0
2015/3/22,Villarreal CF,Sevilla FC,0,2
2015/3/22,Real Sociedad,Cordoba CF,3,1
2015/3/22,FC Barcelona,Real Madrid,2,1
2015/4/3,SD Eibar,Rayo Vallecano,1,2
2015/4/4,Sevilla FC,Athletic Bilbao,2,0
2015/4/4,Cordoba CF,Atletico Madrid,0,2
2015/4/4,UD Almeria,Levante UD,1,4
2015/4/4,Malaga CF,Real Sociedad,1,1
2015/4/5,Real Madrid,Granada CF,9,1
2015/4/5,Valencia CF,Villarreal CF,0,0
2015/4/5,Getafe CF,Deportivo La Coruna,2,1
2015/4/5,Celta Vigo,FC Barcelona,0,1
2015/4/6,Espanyol Barcelona,Elche CF,1,1
2015/4/7,Atletico Madrid,Real Sociedad,2,0
2015/4/7,Levante UD,Sevilla FC,1,2
2015/4/7,SD Eibar,Malaga CF,1,0
2015/4/8,Deportivo La Coruna,Cordoba CF,1,1
2015/4/8,FC Barcelona,UD Almeria,4,0
2015/4/8,Granada CF,Celta Vigo,1,1
2015/4/8,Rayo Vallecano,Real Madrid,0,2
2015/4/9,Athletic Bilbao,Valencia CF,1,1
2015/4/9,Elche CF,Getafe CF,0,1
2015/4/9,Villarreal CF,Espanyol Barcelona,0,3
2015/4/11,Real Madrid,SD Eibar,3,0
2015/4/11,Malaga CF,Atletico Madrid,2,2
2015/4/11,Sevilla FC,FC Barcelona,2,2
2015/4/11,UD Almeria,Granada CF,3,0
2015/4/11,Celta Vigo,Rayo Vallecano,6,1
2015/4/12,Getafe CF,Villarreal CF,1,1
2015/4/12,Espanyol Barcelona,Athletic Bilbao,1,0
2015/4/12,Real Sociedad,Deportivo La Coruna,2,2
2015/4/12,Cordoba CF,Elche CF,0,2
2015/4/13,Valencia CF,Levante UD,3,0
2015/4/17,Levante UD,Espanyol Barcelona,2,2
2015/4/18,FC Barcelona,Valencia CF,2,0
2015/4/18,Deportivo La Coruna,Atletico Madrid,1,2
2015/4/18,Real Madrid,Malaga CF,3,1
2015/4/18,Athletic Bilbao,Getafe CF,4,0
2015/4/19,Rayo Vallecano,UD Almeria,2,0
2015/4/19,Granada CF,Sevilla FC,1,1
2015/4/19,Villarreal CF,Cordoba CF,0,0
2015/4/19,SD Eibar,Celta Vigo,0,1
2015/4/20,Elche CF,Real Sociedad,1,0
2015/4/24,Cordoba CF,Athletic Bilbao,0,1
2015/4/25,Espanyol Barcelona,FC Barcelona,0,2
2015/4/25,Atletico Madrid,Elche CF,3,0
2015/4/25,Getafe CF,Levante UD,0,1
2015/4/25,Real Sociedad,Villarreal CF,0,0
2015/4/26,Malaga CF,Deportivo La Coruna,1,1
2015/4/26,UD Almeria,SD Eibar,2,0
2015/4/26,Sevilla FC,Rayo Vallecano,2,0
2015/4/26,Celta Vigo,Real Madrid,2,4
2015/4/27,Valencia CF,Granada CF,4,0
2015/4/28,FC Barcelona,Getafe CF,6,0
2015/4/28,Athletic Bilbao,Real Sociedad,1,1
2015/4/28,Levante UD,Cordoba CF,1,0
2015/4/29,SD Eibar,Sevilla FC,1,3
2015/4/29,Real Madrid,UD Almeria,3,0
2015/4/29,Celta Vigo,Malaga CF,1,0
2015/4/29,Elche CF,Deportivo La Coruna,4,0
2015/4/29,Villarreal CF,Atletico Madrid,0,1
2015/4/30,Rayo Vallecano,Valencia CF,1,1
2015/4/30,Granada CF,Espanyol Barcelona,1,2
2015/5/1,Real Sociedad,Levante UD,3,0
2015/5/2,Cordoba CF,FC Barcelona,0,8
2015/5/2,Atletico Madrid,Athletic Bilbao,0,0
2015/5/2,Sevilla FC,Real Madrid,2,3
2015/5/2,Deportivo La Coruna,Villarreal CF,1,1
2015/5/3,Espanyol Barcelona,Rayo Vallecano,1,1
2015/5/3,Getafe CF,Granada CF,1,2
2015/5/3,Valencia CF,SD Eibar,3,1
2015/5/3,Malaga CF,Elche CF,1,2
2015/5/4,UD Almeria,Celta Vigo,2,2
2015/5/8,SD Eibar,Espanyol Barcelona,0,2
2015/5/9,Granada CF,Cordoba CF,2,0
2015/5/9,FC Barcelona,Real Sociedad,2,0
2015/5/9,Real Madrid,Valencia CF,2,2
2015/5/9,Athletic Bilbao,Deportivo La Coruna,1,1
2015/5/10,Levante UD,Atletico Madrid,2,2
2015/5/10,Villarreal CF,Elche CF,1,0
2015/5/10,UD Almeria,Malaga CF,1,2
2015/5/10,Celta Vigo,Sevilla FC,1,1
2015/5/11,Rayo Vallecano,Getafe CF,2,0
2015/5/17,Villarreal CF,Malaga CF,2,1
2015/5/17,Elche CF,Athletic Bilbao,2,3
2015/5/17,Deportivo La Coruna,Levante UD,2,0
2015/5/17,Atletico Madrid,FC Barcelona,0,1
2015/5/17,Real Sociedad,Granada CF,0,3
2015/5/17,Cordoba CF,Rayo Vallecano,1,2
2015/5/17,Getafe CF,SD Eibar,1,1
2015/5/17,Espanyol Barcelona,Real Madrid,1,4
2015/5/17,Valencia CF,Celta Vigo,1,1
2015/5/17,Sevilla FC,UD Almeria,2,1
2015/5/23,Levante UD,Elche CF,0,0
2015/5/23,Athletic Bilbao,Villarreal CF,4,0
2015/5/23,FC Barcelona,Deportivo La Coruna,2,2
2015/5/23,Granada CF,Atletico Madrid,0,0
2015/5/23,Rayo Vallecano,Real Sociedad,2,4
2015/5/23,SD Eibar,Cordoba CF,3,0
2015/5/23,Celta Vigo,Espanyol Barcelona,3,2
2015/5/23,UD Almeria,Valencia CF,2,3
2015/5/23,Malaga CF,Sevilla FC,2,3
2015/5/23,Real Madrid,Getafe CF,7,3
2015/8/21,Malaga CF,Sevilla FC,0,0
2015/8/22,Espanyol Barcelona,Getafe CF,1,0
2015/8/22,Deportivo La Coruna,Real Sociedad,0,0
2015/8/22,Atletico Madrid,UD Las Palmas,1,0
2015/8/22,Rayo Vallecano,Valencia CF,0,0
2015/8/23,Athletic Bilbao,FC Barcelona,0,1
2015/8/23,Sporting Gijon,Real Madrid,0,0
2015/8/23,Levante UD,Celta Vigo,1,2
2015/8/23,Real Betis,Villarreal CF,1,1
2015/8/24,Granada CF,SD Eibar,1,3
2015/8/28,Villarreal CF,Espanyol Barcelona,3,1
2015/8/29,Real Sociedad,Sporting Gijon,0,0
2015/8/29,FC Barcelona,Malaga CF,1,0
2015/8/29,Celta Vigo,Rayo Vallecano,3,0
2015/8/29,Real Madrid,Real Betis,5,0
2015/8/30,SD Eibar,Athletic Bilbao,2,0
2015/8/30,Sevilla FC,Atletico Madrid,0,3
2015/8/30,Valencia CF,Deportivo La Coruna,1,1
2015/8/30,UD Las Palmas,Levante UD,0,0
2015/8/30,Getafe CF,Granada CF,1,2
2015/9/11,Levante UD,Sevilla FC,1,1
2015/9/12,Espanyol Barcelona,Real Madrid,0,6
2015/9/12,Sporting Gijon,Valencia CF,0,1
2015/9/12,Atletico Madrid,FC Barcelona,1,2
2015/9/12,Real Betis,Real Sociedad,1,0
2015/9/13,Granada CF,Villarreal CF,1,3
2015/9/13,Athletic Bilbao,Getafe CF,3,1
2015/9/13,Celta Vigo,UD Las Palmas,3,3
2015/9/13,Malaga CF,SD Eibar,0,0
2015/9/14,Rayo Vallecano,Deportivo La Coruna,1,3
2015/9/18,Getafe CF,Malaga CF,1,0
2015/9/19,Real Madrid,Granada CF,1,0
2015/9/19,Valencia CF,Real Betis,0,0
2015/9/19,SD Eibar,Atletico Madrid,0,2
2015/9/19,Real Sociedad,Espanyol Barcelona,2,3
2015/9/20,Sevilla FC,Celta Vigo,1,2
2015/9/20,Deportivo La Coruna,Sporting Gijon,2,3
2015/9/20,Villarreal CF,Athletic Bilbao,3,1
2015/9/20,UD Las Palmas,Rayo Vallecano,0,1
2015/9/20,FC Barcelona,Levante UD,4,1
2015/9/22,Atletico Madrid,Getafe CF,2,0
2015/9/22,Espanyol Barcelona,Valencia CF,1,0
2015/9/22,Granada CF,Real Sociedad,0,3
2015/9/23,Celta Vigo,FC Barcelona,4,1
2015/9/23,Levante UD,SD Eibar,2,2
2015/9/23,Rayo Vallecano,Sporting Gijon,2,1
2015/9/23,Athletic Bilbao,Real Madrid,1,2
2015/9/23,UD Las Palmas,Sevilla FC,2,0
2015/9/23,Malaga CF,Villarreal CF,0,1
2015/9/24,Real Betis,Deportivo La Coruna,1,2
2015/9/25,Valencia CF,Granada CF,1,0
2015/9/26,FC Barcelona,UD Las Palmas,2,1
2015/9/26,Real Madrid,Malaga CF,0,0
2015/9/26,Sevilla FC,Rayo Vallecano,3,2
2015/9/26,Villarreal CF,Atletico Madrid,1,0
2015/9/26,SD Eibar,Celta Vigo,1,1
2015/9/27,Sporting Gijon,Real Betis,1,2
2015/9/27,Deportivo La Coruna,Espanyol Barcelona,3,0
2015/9/27,Getafe CF,Levante UD,3,0
2015/9/27,Real Sociedad,Athletic Bilbao,0,0
2015/10/2,Celta Vigo,Getafe CF,0,0
2015/10/3,Sevilla FC,FC Barcelona,2,1
2015/10/3,Granada CF,Deportivo La Coruna,1,1
2015/10/3,Espanyol Barcelona,Sporting Gijon,1,2
2015/10/3,UD Las Palmas,SD Eibar,0,2
2015/10/3,Malaga CF,Real Sociedad,3,1
2015/10/4,Rayo Vallecano,Real Betis,0,2
2015/10/4,Athletic Bilbao,Valencia CF,3,1
2015/10/4,Levante UD,Villarreal CF,1,0
2015/10/4,Atletico Madrid,Real Madrid,1,1
2015/10/17,Real Madrid,Levante UD,3,0
2015/10/17,SD Eibar,Sevilla FC,1,1
2015/10/17,FC Barcelona,Rayo Vallecano,5,2
2015/10/17,Valencia CF,Malaga CF,3,0
2015/10/17,Real Betis,Espanyol Barcelona,1,3
2015/10/18,Villarreal CF,Celta Vigo,1,2
2015/10/18,Real Sociedad,Atletico Madrid,0,2
2015/10/18,Getafe CF,UD Las Palmas,4,0
2015/10/18,Deportivo La Coruna,Athletic Bilbao,2,2
