Date,HomeTeam,AwayTeam,FTHG,FTAG
28-Mar-15,Perth Glory,Western Sydney,3,2
28-Mar-15,Melbourne City,Brisbane Roar,1,0
29-Mar-15,Newcastle Jets,Adelaide Utd,0,1
29-Mar-15,Wellington Phoenix,Sydney FC,0,3
2-Apr-15,Brisbane Roar,Central Coast Mariners,6,1
3-Apr-15,Western Sydney,Melbourne City,1,1
4-Apr-15,Sydney FC,Adelaide Utd,0,1
5-Apr-15,Wellington Phoenix,Melbourne Victory,0,3
6-Apr-15,Newcastle Jets,Perth Glory,0,2
10-Apr-15,Perth Glory,Sydney FC,0,3
10-Apr-15,Melbourne Victory,Newcastle Jets,0,1
11-Apr-15,Central Coast Mariners,Western Sydney,1,0
11-Apr-15,Adelaide Utd,Brisbane Roar,2,3
12-Apr-15,Melbourne City,Wellington Phoenix,0,0
15-Apr-15,Brisbane Roar,Melbourne Victory,1,2
17-Apr-15,Newcastle Jets,Sydney FC,3,4
17-Apr-15,Wellington Phoenix,Central Coast Mariners,3,2
18-Apr-15,Brisbane Roar,Melbourne Victory,0,1
18-Apr-15,Western Sydney,Adelaide Utd,2,1
19-Apr-15,Perth Glory,Melbourne City,3,1
24-Apr-15,Brisbane Roar,Newcastle Jets,2,1
25-Apr-15,Adelaide Utd,Melbourne City,4,1
25-Apr-15,Western Sydney,Perth Glory,1,2
26-Apr-15,Melbourne Victory,Central Coast Mariners,3,1
26-Apr-15,Wellington Phoenix,Sydney FC,1,2
1-May-15,Adelaide Utd,Brisbane Roar,2,1
3-May-15,Wellington Phoenix,Melbourne City,0,2
8-May-15,Melbourne Victory,Melbourne City,3,0
9-May-15,Sydney FC,Adelaide Utd,4,1
16-May-15,Melbourne Victory,Sydney FC,3,0
8-Oct-15,Western Sydney,Brisbane Roar,1,3
9-Oct-15,Adelaide Utd,Melbourne Victory,0,0
10-Oct-15,Sydney FC,Melbourne City,1,1
10-Oct-15,Central Coast Mariners,Perth Glory,3,2
11-Oct-15,Wellington Phoenix,Newcastle Jets,1,2
16-Oct-15,Adelaide Utd,Western Sydney,1,1
17-Oct-15,Melbourne Victory,Melbourne City,3,2
17-Oct-15,Newcastle Jets,Sydney FC,0,1
18-Oct-15,Perth Glory,Wellington Phoenix,1,2
18-Oct-15,Brisbane Roar,Central Coast Mariners,2,1
23-Oct-15,Newcastle Jets,Melbourne Victory,1,0
24-Oct-15,Sydney FC,Western Sydney,1,0
24-Oct-15,Wellington Phoenix,Brisbane Roar,3,2
25-Oct-15,Perth Glory,Adelaide Utd,3,1
25-Oct-15,Melbourne City,Central Coast Mariners,3,1
30-Oct-15,Melbourne City,Newcastle Jets,2,3
31-Oct-15,Brisbane Roar,Adelaide Utd,3,0
31-Oct-15,Central Coast Mariners,Sydney FC,1,3
1-Nov-15,Western Sydney,Perth Glory,1,0
2-Nov-15,Melbourne Victory,Wellington Phoenix,3,0
5-Nov-15,Adelaide Utd,Melbourne City,2,4
6-Nov-15,Sydney FC,Brisbane Roar,0,0
7-Nov-15,Newcastle Jets,Western Sydney,1,2
8-Nov-15,Central Coast Mariners,Wellington Phoenix,1,1
13-Nov-15,Melbourne City,Western Sydney,0,3
13-Nov-15,Wellington Phoenix,Adelaide Utd,4,2
14-Nov-15,Sydney FC,Melbourne Victory,2,4
14-Nov-15,Newcastle Jets,Central Coast Mariners,1,1
15-Nov-15,Brisbane Roar,Perth Glory,1,0
19-Nov-15,Melbourne Victory,Central Coast Mariners,2,1
20-Nov-15,Brisbane Roar,Melbourne City,1,1
21-Nov-15,Perth Glory,Sydney FC,0,0
21-Nov-15,Western Sydney,Wellington Phoenix,2,1
22-Nov-15,Adelaide Utd,Newcastle Jets,0,0
26-Nov-15,Sydney FC,Wellington Phoenix,0,0
27-Nov-15,Melbourne City,Perth Glory,5,1
28-Nov-15,Melbourne Victory,Adelaide Utd,2,1
28-Nov-15,Newcastle Jets,Brisbane Roar,1,1
29-Nov-15,Central Coast Mariners,Western Sydney,0,2
3-Dec-15,Central Coast Mariners,Melbourne City,1,5
